epoch_number,batch_size,framework,dataset,model,power,temp,mem_used,gpu_util,mem_util,total_time,precision,recall,accuracy,f1,energy
10,128,tensorflow,CIFAR10,resnet152,182.285,49.094,38907.0,90.25,5.766,32.0,0.483,0.473,0.473,0.47,5833.12
10,128,tensorflow,CIFAR10,resnet50,154.047,42.144,38907.0,86.201,6.614,11.5,0.496,0.49,0.49,0.487,1771.54
10,128,tensorflow,CIFAR100,resnet101,187.171,49.364,38907.0,90.659,5.955,22.0,0.19,0.184,0.185,0.174,4117.762
10,128,tensorflow,CIFAR100,resnet152,180.895,45.836,38907.0,89.603,5.769,32.5,0.184,0.174,0.175,0.166,5879.088
10,128,tensorflow,CIFAR100,resnet50,166.223,45.136,38907.0,86.409,6.636,11.0,0.205,0.19,0.191,0.188,1828.453
10,128,tensorflow,SVHN,resnet101,173.963,45.242,38907.0,86.894,6.045,33.5,0.779,0.754,0.775,0.763,5827.76
10,128,tensorflow,SVHN,resnet152,177.761,47.614,38907.0,86.824,5.776,48.5,0.738,0.717,0.738,0.724,8621.408
10,128,tensorflow,SVHN,resnet50,163.438,42.728,38907.0,86.557,6.665,16.5,0.816,0.809,0.824,0.812,2696.727
10,256,tensorflow,CIFAR10,resnet101,166.857,43.964,38907.0,82.679,8.929,14.0,0.452,0.45,0.45,0.448,2335.998
10,256,tensorflow,CIFAR10,resnet152,166.551,43.512,38907.0,81.418,8.15,20.5,0.44,0.438,0.439,0.434,3414.295
10,256,tensorflow,CIFAR10,resnet50,159.006,43.5,38907.0,87.071,10.429,7.0,0.433,0.436,0.435,0.433,1113.042
10,256,tensorflow,CIFAR100,resnet101,166.372,44.857,38907.0,81.607,8.964,14.0,0.161,0.16,0.161,0.152,2329.208
10,256,tensorflow,CIFAR100,resnet152,151.947,41.428,38907.0,74.997,7.587,22.0,0.152,0.152,0.154,0.143,3342.834
10,256,tensorflow,CIFAR100,resnet50,161.867,43.393,38907.0,80.652,10.312,7.5,0.16,0.156,0.157,0.15,1214.002
10,256,tensorflow,SVHN,resnet101,167.608,43.636,38907.0,82.34,9.1,21.0,0.71,0.7,0.721,0.703,3519.768
10,256,tensorflow,SVHN,resnet152,164.871,42.4,38907.0,80.733,8.067,30.0,0.681,0.658,0.683,0.663,4946.13
10,256,tensorflow,SVHN,resnet50,172.356,44.195,38907.0,86.145,10.227,10.5,0.77,0.758,0.778,0.762,1809.738
10,32,tensorflow,CIFAR10,resnet101,131.339,40.251,38907.0,84.448,4.713,52.5,0.483,0.468,0.469,0.464,6895.298
10,32,tensorflow,CIFAR10,resnet152,130.951,38.486,38907.0,84.879,3.92,75.5,0.464,0.452,0.453,0.442,9886.8
10,32,tensorflow,CIFAR10,resnet50,127.133,38.414,38907.0,78.569,5.414,29.0,0.505,0.498,0.499,0.489,3686.857
10,32,tensorflow,CIFAR100,resnet101,131.692,38.951,38907.0,84.971,4.612,52.0,0.254,0.229,0.232,0.222,6847.984
10,32,tensorflow,CIFAR100,resnet152,127.231,37.947,38907.0,84.847,3.907,76.0,0.2,0.188,0.191,0.172,9669.556
10,32,tensorflow,CIFAR100,resnet50,126.214,37.089,38907.0,79.536,5.589,29.0,0.276,0.258,0.26,0.254,3660.206
10,32,tensorflow,SVHN,resnet101,129.715,39.533,38907.0,83.394,4.413,77.5,0.796,0.786,0.802,0.787,10052.912
10,32,tensorflow,SVHN,resnet152,131.342,40.202,38907.0,84.968,3.936,110.0,0.738,0.716,0.738,0.722,14447.62
10,32,tensorflow,SVHN,resnet50,123.275,36.663,38907.0,79.194,5.495,42.5,0.872,0.872,0.881,0.871,5239.188
10,64,tensorflow,CIFAR10,resnet101,144.484,41.317,38907.0,86.633,5.767,30.0,0.522,0.518,0.518,0.516,4334.52
10,64,tensorflow,CIFAR10,resnet152,146.488,40.884,38907.0,87.302,5.035,43.0,0.482,0.48,0.481,0.474,6298.984
10,64,tensorflow,CIFAR10,resnet50,133.608,39.719,38907.0,83.781,6.781,16.0,0.546,0.542,0.543,0.542,2137.728
10,64,tensorflow,CIFAR100,resnet101,147.768,42.379,38907.0,87.061,5.895,29.5,0.225,0.208,0.208,0.198,4359.156
10,64,tensorflow,CIFAR100,resnet152,145.12,40.419,38907.0,87.36,5.081,43.0,0.202,0.188,0.189,0.178,6240.16
10,64,tensorflow,CIFAR100,resnet50,140.94,39.344,38907.0,82.844,6.562,16.0,0.248,0.229,0.23,0.225,2255.04
10,64,tensorflow,SVHN,resnet101,146.486,41.087,38907.0,86.038,5.758,44.0,0.82,0.802,0.818,0.808,6445.384
10,64,tensorflow,SVHN,resnet152,146.347,40.896,38907.0,86.893,5.153,63.5,0.764,0.745,0.766,0.75,9293.034
10,64,tensorflow,SVHN,resnet50,128.548,39.382,38907.0,75.832,5.924,25.5,0.852,0.845,0.859,0.848,3277.974
